ID,Sale Price,No of Bedrooms,No of Bathrooms,Flat Area (in Sqft),Lot Area (in Sqft),No of Floors,Waterfront View,No of Times Visited,Condition of the House,Overall Grade,Area of the House from Basement (in Sqft),Basement Area (in Sqft),Age of House (in Years),Zipcode,Latitude,Longitude,Living Area after Renovation (in Sqft),Lot Area after Renovation (in Sqft),Plot length,total_area,year_sold,month_sold,date_sold,Ever Renovated,Years Since Renovation
7129300520,221900.0,3,1.0,1180.0,5650.0,1.0,No,0,Fair,7,1180.0,0,63,98178.0,47.5112,-122.257,1340.0,5650,34.351128074635334,6830.0,2017,10,31,No,0
6414100192,538000.0,3,2.25,2570.0,7242.0,2.0,No,0,Fair,7,2170.0,400,67,98125.0,47.721,-122.319,1690.0,7639,50.695167422546305,9812.0,2017,12,31,Yes,26
5631500400,180000.0,2,1.0,770.0,10000.0,1.0,No,0,Fair,6,770.0,0,85,98028.0,47.7379,-122.233,2720.0,8062,27.748873851023216,10770.0,2016,2,29,No,0
2487200875,604000.0,4,3.0,1960.0,5000.0,1.0,No,0,Excellent,7,1050.0,910,53,98136.0,47.5208,-122.393,1360.0,5000,44.27188724235731,6960.0,2017,12,31,No,0
1954400510,510000.0,3,2.0,1680.0,8080.0,1.0,No,0,Fair,8,1680.0,0,31,98074.0,47.6168,-122.045,1800.0,7503,40.98780306383839,9760.0,2016,2,29,No,0
7237550310,1129575.0,4,4.5,5420.0,101930.0,1.0,No,0,Fair,10,3890.0,1530,17,98053.0,47.6561,-122.005,4760.0,101930,73.62064927722385,107350.0,2017,5,31,No,0
1321400060,257500.0,3,2.25,1715.0,6819.0,2.0,No,0,Fair,7,1715.0,0,23,98003.0,47.3097,-122.327,2238.0,6819,41.41255848169731,8534.0,2017,6,30,No,0
2008000270,291850.0,3,1.5,1060.0,9711.0,1.0,No,0,Fair,7,1060.0,0,55,98198.0,47.4095,-122.315,1650.0,9711,32.55764119219941,10771.0,2016,1,31,No,0
2414600126,229500.0,3,1.0,1780.0,7470.0,1.0,No,0,Fair,7,1050.0,730,58,98146.0,47.5123,-122.337,1780.0,8113,42.190046219457976,9250.0,2016,4,30,No,0
3793500160,323000.0,3,2.5,1890.0,6560.0,2.0,No,0,Fair,7,1890.0,0,15,98038.0,47.3684,-122.031,2390.0,7570,43.474130238568314,8450.0,2016,3,31,No,0
1736800520,662500.0,3,2.5,3560.0,9796.0,1.0,No,0,Fair,8,1860.0,1700,53,98007.0,47.6007,-122.145,2210.0,8925,59.665735560705194,13356.0,2016,4,30,No,0
9212900260,468000.0,2,1.0,1160.0,6000.0,1.0,No,0,Good,7,860.0,300,76,98115.0,47.69,-122.292,1330.0,6000,34.058772731852805,7160.0,2017,5,31,No,0
114101516,310000.0,3,1.0,1430.0,19901.0,1.5,No,0,Good,7,1430.0,0,91,98028.0,47.7558,-122.229,1780.0,12697,37.815340802378074,21331.0,2017,5,31,No,0
6054650070,400000.0,3,1.75,1370.0,9680.0,1.0,No,0,Good,7,1370.0,0,41,98074.0,47.6127,-122.045,1370.0,10208,37.013511046643494,11050.0,2017,10,31,No,0
1175000570,530000.0,5,2.0,1810.0,4850.0,1.5,No,0,Fair,7,1810.0,0,118,98107.0,47.67,-122.394,1360.0,4850,42.5440947723653,6660.0,2016,3,31,No,0
9297300055,650000.0,4,3.0,2950.0,5000.0,2.0,No,3,Fair,9,1980.0,970,39,98126.0,47.5714,-122.375,2140.0,4000,54.31390245600108,7950.0,2016,1,31,No,0
1875500060,395000.0,3,2.0,1890.0,14040.0,2.0,No,0,Fair,7,1890.0,0,24,98019.0,47.7277,-121.962,1890.0,14018,43.474130238568314,15930.0,2017,7,31,No,0
6865200140,485000.0,4,1.0,1600.0,4300.0,1.5,No,0,Good,7,1600.0,0,102,98103.0,47.6648,-122.343,1610.0,4300,40.0,5900.0,2017,5,31,No,0
16000397,189000.0,2,1.0,1200.0,9850.0,1.0,No,0,Good,7,1200.0,0,97,98002.0,47.3089,-122.21,1060.0,5095,34.64101615137755,11050.0,2017,12,31,No,0
7983200060,230000.0,3,1.0,1250.0,9774.0,1.0,No,0,Good,7,1250.0,0,49,98003.0,47.3343,-122.306,1280.0,8850,35.35533905932738,11024.0,2016,4,30,No,0
6300500875,385000.0,4,1.75,1620.0,4980.0,1.0,No,0,Good,7,860.0,760,71,98133.0,47.7025,-122.341,1400.0,4980,40.24922359499622,6600.0,2017,5,31,No,0
2524049179,1129575.0,3,2.75,3050.0,44867.0,1.0,No,4,Fair,9,2330.0,720,50,98040.0,47.5316,-122.233,4110.0,20336,55.226805085936306,47917.0,2017,8,31,No,0
7137970340,285000.0,5,2.5,2270.0,6300.0,2.0,No,0,Fair,8,2270.0,0,23,98092.0,47.3266,-122.169,2240.0,7005,47.644516998286385,8570.0,2017,7,31,No,0
8091400200,252700.0,2,1.5,1070.0,9643.0,1.0,No,0,Fair,7,1070.0,0,33,98030.0,47.3533,-122.166,1220.0,8386,32.71085446759225,10713.0,2017,5,31,No,0
3814700200,329000.0,3,2.25,2450.0,6500.0,2.0,No,0,Good,8,2450.0,0,33,98030.0,47.3739,-122.172,2200.0,6865,49.49747468305833,8950.0,2017,11,30,No,0
1202000200,233000.0,3,2.0,1710.0,4697.0,1.5,No,0,Excellent,6,1710.0,0,77,98002.0,47.3048,-122.218,1030.0,4705,41.352146256270665,6407.0,2017,11,30,No,0
1794500383,937000.0,3,1.75,2450.0,2691.0,2.0,No,0,Fair,8,1750.0,700,103,98119.0,47.6386,-122.36,1760.0,3573,49.49747468305833,5141.0,2017,6,30,No,0
3303700376,667000.0,3,1.0,1400.0,1581.0,1.5,No,0,Excellent,8,1400.0,0,109,98112.0,47.6221,-122.314,1860.0,3861,37.416573867739416,2981.0,2017,12,31,No,0
5101402488,438000.0,3,1.75,1520.0,6380.0,1.0,No,0,Fair,7,790.0,730,70,98115.0,47.695,-122.304,1520.0,6235,38.98717737923585,7900.0,2017,6,30,No,0
1873100390,719000.0,4,2.5,2570.0,7173.0,2.0,No,0,Fair,8,2570.0,0,13,98052.0,47.7073,-122.11,2630.0,6026,50.695167422546305,9743.0,2016,3,31,No,0
8562750320,580500.0,3,2.5,2320.0,3980.0,2.0,No,0,Fair,8,2320.0,0,15,98027.0,47.5391,-122.07,2580.0,3980,48.16637831516918,6300.0,2017,11,30,No,0
